new_id,name
1,"Dr. S. (Berlin W 15, Kaiserallee 208)"
2,"25.101"
3,"89.777"
4,"59.523"
5,"14.91"
6,"50.38"
7,"99.163"
8,"14.85"
9,"57.236"
10,"8.32"
11,"75.289"
12,"94.567"
13,"35.708"
14,"56.065"
15,"64.169"
16,"24.837"
17,"99.539"
18,"79.133"
19,"14.012"
20,"7.085"
21,"0.246"
22,"89.656"
23,"96.171"
24,"70.876"
25,"68.651"
26,"20.134"
27,"21.953"
28,"22.187"
29,"23.709"
30,"70.715"
31,"26.576"
32,"Altkunst G.M.B.H. Berlin"
33,"49.322"
34,"56.918"
35,"68.582"
36,"88.203"
37,"61.957"
38,"73.692"
39,"82.361"
40,"56.455"
41,"30.136"
42,"28.444"
43,"31.226"
44,"17.369"
45,"16.676"
46,"0.746"
47,"54.144"
48,"27.496"
49,"30.0"
50,"3.958"
51,"15.358"
52,"58.897"
53,"85.403"
54,"95.136"
55,"58.896"
56,"97.563"
57,"3.238"
58,"62.036"
59,"46.53"
60,"51.208"
61,"87.685"
62,"49.882"
63,"37.377"
64,"21.209"
65,"79.359"
66,"42.547"
67,"31.696"
68,"4.368"
69,"25.91"
70,"37.854"
71,"89.151"
72,"5.438"
73,"0.812"
74,"93.646"
75,"52.664"
76,"15.312"
77,"50.025"
78,"43.524"
79,"12.802"
80,"16.634"
81,"16.752"
82,"40.614"
83,"75.495"
84,"38.374"
85,"64.019"
86,"30.811"
87,"62.659"
88,"27.16"
89,"69.349"
90,"90.265"
91,"19.454"
92,"93.8"
93,"96.266"
94,"85.431"
95,"77.414"
96,"35.949"
97,"91.631"
98,"41.724"
99,"28.152"
100,"83.321"
101,"66.849"
102,"78.374"
103,"64.399"
104,"35.706"
105,"76.11"
106,"76.554"
107,"18.212"
108,"1.603"
109,"38.348"
110,"39.733"
111,"35.12"
112,"62.499"
113,"85.29"
114,"40.486"
115,"62.522"
116,"43.671"
117,"19.168"
118,"68.211"
119,"17.976"
120,"96.032"
121,"14.802"
122,"57.348"
123,"5.256"
124,"65.477"
125,"98.465"
